"","Model","MAE","RMSE","MAPE","NRMSE","MASE"
"1","LSTM",0.0447546996759919,0.0998667740260777,18.9871838193527,18.9871838193527,0.878719119056734
"2","LASSO",0.0299669744259319,0.059161005652328,11.338673927611,11.338673927611,0.589136362510873
"3","Benchmark",0.0510455875762974,0.111690393404833,7.60067335368899,7.60067335368899,0.999954718139946
"4","Improvement of XXXX over benchmark (in %)",12.324058158607,10.5860665526528,-149.809233153497,-149.809233153497,12.1241089105242
