"","ID","MAE","sd_MAE"
"1","consumer-00000001.csv",0.0327652090882986,0.0694334433591935
"2","consumer-00000002.csv",0.041155675383154,0.066270638470094
"3","consumer-00000003.csv",0.0396213230154674,0.0839094428070573
"4","consumer-00000004.csv",0.0360061398148621,0.0712661605450415
"5","consumer-00000005.csv",0.0561946805722932,0.104995163907915
"6","consumer-00000006.csv",0.0192447968612643,0.0535882779421366
"7","consumer-00000007.csv",0.0316592390756221,0.0642494509823612
"8","consumer-00000008.csv",0.0530435819569603,0.0784640675139321
"9","consumer-00000009.csv",0.0126070213895091,0.0196276900252058
"10","consumer-00000010.csv",0.0499526098922327,0.112677110503573
"11","consumer-00000011.csv",0.0525327332439475,0.0981310105674006
"12","consumer-00000012.csv",0.0342622183991258,0.0585848652530021
"13","consumer-00000013.csv",0.00723142055998655,0.0296853932940839
"14","consumer-00000014.csv",0.0613394144228312,0.112888811682247
"15","consumer-00000015.csv",0.0534679747593813,0.111644077067384
"16","consumer-00000016.csv",0.0982397599188299,0.335441396982942
"17","consumer-00000017.csv",0.0331500232678211,0.0895366808762742
"18","consumer-00000018.csv",0.0381042915620713,0.0792519672112567
"19","consumer-00000019.csv",0.0538326895244116,0.0889072585103571
"20","consumer-00000020.csv",0.144043049770713,0.153928234226207
"21","consumer-00000021.csv",0.0422323315684936,0.116620496899227
"22","consumer-00000022.csv",0.0760380962632482,0.140874953705888
"23","consumer-00000023.csv",0.0309181902595494,0.0441898929077796
"24","consumer-00000024.csv",0.0564261781734701,0.15937618647429
"25","consumer-00000025.csv",0.119034997061903,0.150578169055142
"26","consumer-00000027.csv",0.0169014972258238,0.043565372994749
"27","consumer-00000028.csv",0.0730652822526227,0.108851294077283
"28","consumer-00000029.csv",0.0478155660066577,0.091049440292633
"29","consumer-00000030.csv",0.0584309109332885,0.0962877000879203
"30","consumer-00000031.csv",0.0652327611140551,0.098471739593021
"31","consumer-00000032.csv",0.0478711064345999,0.0879206914474353
"32","consumer-00000033.csv",0.0527214460389038,0.0860459774219152
"33","consumer-00000034.csv",0.0557530687706456,0.104751505081909
"34","consumer-00000035.csv",0.00342135711930061,0.0129436402307361
"35","consumer-00000036.csv",0.045937536955649,0.0905122697392092
"36","consumer-00000037.csv",0.0815871347342972,0.115946479977142
"37","consumer-00000038.csv",0.034789567545965,0.0811736122779793
"38","consumer-00000039.csv",0.0511373719031944,0.102512941401604
"39","consumer-00000040.csv",0.128785659461903,0.346253315868063
"40","consumer-00000041.csv",0.0376316655094149,0.0886030953837177
"41","consumer-00000042.csv",0.0422466982678884,0.0965160949929625
"42","consumer-00000043.csv",0.0402822023441829,0.074784814961333
"43","consumer-00000044.csv",0.0734996591158709,0.113271656361986
"44","consumer-00000045.csv",0.0492899751654674,0.116081206887255
"45","consumer-00000046.csv",0.0988601555872898,0.101090828987855
"46","consumer-00000047.csv",0.0995540340729993,0.12847497969361
"47","consumer-00000048.csv",0.0484583627692334,0.084406111734241
"48","consumer-00000049.csv",0.0206325723295562,0.0519118906978351
"49","consumer-00000050.csv",0.0108861523851379,0.0383268067560719
"50","consumer-00000051.csv",0.0248252716032616,0.0600897003590255
"51","consumer-00000052.csv",0.0429748151270343,0.0774357769169144
"52","consumer-00000053.csv",0.0169615988046738,0.0455239879398075
"53","consumer-00000054.csv",0.0525333259240081,0.0791564420297186
"54","consumer-00000055.csv",0.0493614779608272,0.0930493136895244
"55","consumer-00000056.csv",0.0657957268218897,0.125069223202785
"56","consumer-00000057.csv",0.0554508694552791,0.140659807399547
"57","consumer-00000058.csv",0.0433557722249496,0.0833374004099077
"58","consumer-00000059.csv",0.0132049522386012,0.0399535890210824
"59","consumer-00000060.csv",0.030847757210659,0.0645607994515601
"60","consumer-00000061.csv",0.063054103801345,0.116174001857117
"61","consumer-00000062.csv",0.0160354558132818,0.0458995782824501
"62","consumer-00000063.csv",0.0516543660464358,0.0961270287854655
"63","consumer-00000064.csv",0.0504152447824815,0.107347096135849
"64","consumer-00000065.csv",0.0543547521035642,0.0893754443280454
"65","consumer-00000066.csv",0.0644338214539005,0.10821326347662
"66","consumer-00000067.csv",0.000153239572225958,0.000529207862443191
"67","consumer-00000068.csv",0.038648644650269,0.0779510003894761
"68","consumer-00000069.csv",0.0580219859047075,0.102119942834473
"69","consumer-00000070.csv",0.026195599581002,0.0860136110528027
"70","consumer-00000071.csv",0.0991038775942502,0.237776874868033
"71","consumer-00000072.csv",0.0523591439313046,0.0904905001377918
"72","consumer-00000073.csv",0.0529356813259247,0.0879170899897229
"73","consumer-00000074.csv",0.0454531846528917,0.241229781881514
"74","consumer-00000075.csv",0.0782161683281439,0.135896755228646
"75","consumer-00000076.csv",0.00924322643476799,0.0306073965931959
"76","consumer-00000077.csv",0.0270534507473773,0.0596459162779707
"77","consumer-00000078.csv",0.186731444343544,0.156604122051361
"78","consumer-00000079.csv",0.0395255865784465,0.0914691035884481
"79","consumer-00000080.csv",0.0459926778508406,0.0812977474963476
"80","consumer-00000081.csv",0.0527818710098857,0.0971069210618846
"81","consumer-00000082.csv",0.0856658478953262,0.103344615269306
"82","consumer-00000083.csv",0.0359527433141224,0.0712664458528218
"83","consumer-00000084.csv",0.106544164045797,0.306123421551093
"84","consumer-00000085.csv",0.0351758774574647,0.0509171041870023
"85","consumer-00000086.csv",0.156480378135945,0.146947157539095
"86","consumer-00000087.csv",0.0720398250685272,0.185884624295831
"87","consumer-00000088.csv",0.0650305332782784,0.11245948785507
"88","consumer-00000089.csv",0.103915362076059,0.11120994462313
