"","time","energy","energyOut"
"1",2017-09-20 12:18:00,275695439952282,0
"2",2017-09-20 12:21:00,275697297893209,0
"3",2017-09-20 12:24:00,275699373401281,0
"4",2017-09-20 12:27:00,275700830576338,0
"5",2017-09-20 12:30:00,275701624316779,0
"6",2017-09-20 12:33:00,275702579818456,0
